cartodb_id,the_geom,gisjoin,total,cnty_trct,tracta,countya,statea,name,county,state,year,field_2,otherunspecified,africanlanguages,hebrew,arabic,hungarian,othernorthamericanindian,navajo,otherpacificisland,tagalog,otherasian,vietnamese,laotian,thai,hmong,mon_khmer,korean,japanese,chinese,otherindo_european,otherindic,urdu,hindi,gujarati,persian,armenian,otherslavic,serbo_croatian,polish,russian,greek,scandinavian,otherwestgermanic,yiddish,german,portuguese,italian,frenchcreole,french,spanish,onlyenglish
656,,3600470038300,4088,4738300,38300,47,36,"Census Tract 383, Kings County, New York",Kings County,New York,2010-2014,,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.002,0.01,0.091,0.869
657,,3600470038500,3179,4738500,38500,47,36,"Census Tract 385, Kings County, New York",Kings County,New York,2010-2014,,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.003,0.139,0.818
658,,3600470038600,3192,4738600,38600,47,36,"Census Tract 386, Kings County, New York",Kings County,New York,2010-2014,,0,0,0.007,0.035,0,0,0,0,0,0.038,0,0,0,0,0,0.007,0,0.317,0.012,0.009,0.025,0,0,0,0,0,0,0.003,0.031,0,0,0,0.001,0,0,0.034,0,0,0.128,0.353
659,,3600470038700,3595,4738700,38700,47,36,"Census Tract 387, Kings County, New York",Kings County,New York,2010-2014,,0.004,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0.008,0,0.03,0.026,0,0,0,0,0,0,0,0.003,0,0,0,0.002,0,0,0,0.002,0,0.171,0.737
660,,3600470038800,3696,4738800,38800,47,36,"Census Tract 388, Kings County, New York",Kings County,New York,2010-2014,,0.011,0,0.023,0.099,0,0,0,0,0,0.007,0,0,0,0,0,0.021,0,0.088,0,0,0,0,0,0,0,0.017,0,0.004,0.21,0,0,0,0,0,0,0.034,0,0.004,0.062,0.419
661,,3600470038900,3131,4738900,38900,47,36,"Census Tract 389, Kings County, New York",Kings County,New York,2010-2014,,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0.005,0.004,0.045,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0.003,0,0,0,0.003,0.587,0.334
662,,3600470039000,2124,4739000,39000,47,36,"Census Tract 390, Kings County, New York",Kings County,New York,2010-2014,,0,0,0.056,0.133,0,0,0,0,0,0.019,0,0,0,0,0,0,0,0.061,0.004,0.02,0,0,0,0,0,0.009,0,0.004,0.09,0,0,0,0.016,0,0.002,0.006,0,0.011,0.038,0.531
663,,3600470039100,3044,4739100,39100,47,36,"Census Tract 391, Kings County, New York",Kings County,New York,2010-2014,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0.002,0,0,0,0,0.616,0.344
664,,3600470039200,2365,4739200,39200,47,36,"Census Tract 392, Kings County, New York",Kings County,New York,2010-2014,,0,0,0.074,0.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0.03,0.023,0,0,0,0.003,0.005,0,0.204,0,0,0,0.088,0,0,0.028,0.01,0.01,0.088,0.348
665,,3600470039300,3510,4739300,39300,47,36,"Census Tract 393, Kings County, New York",Kings County,New York,2010-2014,,0.007,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0.01,0.456,0.502
666,,3600470039400,2005,4739400,39400,47,36,"Census Tract 394, Kings County, New York",Kings County,New York,2010-2014,,0,0,0.067,0.194,0,0,0,0,0,0.057,0,0,0,0,0,0,0,0.007,0.002,0,0,0,0,0,0,0.028,0,0.006,0.085,0,0,0,0.026,0,0,0.037,0,0.007,0.024,0.457
667,,3600470039500,3630,4739500,39500,47,36,"Census Tract 395, Kings County, New York",Kings County,New York,2010-2014,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.002,0.029,0,0.005,0,0,0,0.002,0,0,0,0,0.001,0,0,0,0,0,0,0,0.058,0.001,0.484,0.412
668,,3600470039600,1810,4739600,39600,47,36,"Census Tract 396, Kings County, New York",Kings County,New York,2010-2014,,0.009,0,0.053,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.007,0.016,0,0,0,0,0.003,0.004,0,0,0.004,0.039,0,0,0,0.044,0,0,0.053,0,0.006,0.03,0.688
669,,3600470039700,2952,4739700,39700,47,36,"Census Tract 397, Kings County, New York",Kings County,New York,2010-2014,,0,0.052,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0.295,0.604
670,,3600470039800,2475,4739800,39800,47,36,"Census Tract 398, Kings County, New York",Kings County,New York,2010-2014,,0,0,0.005,0,0,0,0,0,0,0.008,0,0,0,0,0,0.002,0,0.345,0.002,0,0,0,0,0,0,0.017,0,0,0.092,0.004,0,0,0,0,0,0.085,0.009,0,0.186,0.245
671,,3600470039900,3353,4739900,39900,47,36,"Census Tract 399, Kings County, New York",Kings County,New York,2010-2014,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424,0.569
672,,3600470040000,3225,4740000,40000,47,36,"Census Tract 400, Kings County, New York",Kings County,New York,2010-2014,,0,0,0,0.047,0,0,0,0,0,0,0.013,0,0,0,0.013,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.083,0,0,0,0,0,0,0.068,0,0,0.086,0.29
673,,3600470040100,3209,4740100,40100,47,36,"Census Tract 401, Kings County, New York",Kings County,New York,2010-2014,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.006,0.017,0,0.007,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0.004,0.003,0.282,0.673
674,,3600470040200,2386,4740200,40200,47,36,"Census Tract 402, Kings County, New York",Kings County,New York,2010-2014,,0,0,0,0.014,0,0,0,0,0.003,0.014,0,0,0,0,0.005,0.002,0,0.366,0,0.008,0.006,0,0,0,0,0,0.014,0,0.07,0.006,0,0,0,0,0,0.031,0,0,0.099,0.362
675,,3600470040300,3566,4740300,40300,47,36,"Census Tract 403, Kings County, New York",Kings County,New York,2010-2014,,0,0.003,0,0.007,0,0,0,0,0.004,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0.003,0,0,0,0,0,0,0.04,0.036,0.287,0.61
676,,3600470040400,2241,4740400,40400,47,36,"Census Tract 404, Kings County, New York",Kings County,New York,2010-2014,,0,0,0,0.024,0,0,0,0,0,0.049,0,0,0,0,0,0,0,0.297,0.016,0,0,0,0,0,0,0,0,0.007,0.033,0.01,0,0,0,0,0,0.112,0,0,0.093,0.361
677,,3600470040500,1366,4740500,40500,47,36,"Census Tract 405, Kings County, New York",Kings County,New York,2010-2014,,0,0.013,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0.035,0.002,0.485,0.422
678,,3600470040600,2976,4740600,40600,47,36,"Census Tract 406, Kings County, New York",Kings County,New York,2010-2014,,0,0,0,0.051,0,0,0,0,0,0.038,0,0,0.003,0,0,0,0,0.379,0.002,0,0.024,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.105,0,0,0.108,0.261
679,,3600470040800,2821,4740800,40800,47,36,"Census Tract 408, Kings County, New York",Kings County,New York,2010-2014,,0,0.037,0,0,0,0,0,0,0,0.006,0.01,0,0,0,0.009,0,0,0.486,0,0.007,0.014,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.127,0,0,0.071,0.223
680,,3600470040900,3570,4740900,40900,47,36,"Census Tract 409, Kings County, New York",Kings County,New York,2010-2014,,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.645,0.336
681,,3600470041000,1694,4741000,41000,47,36,"Census Tract 410, Kings County, New York",Kings County,New York,2010-2014,,0,0,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0,0.131,0,0,0,0,0.022,0,0,0,0,0,0.09,0,0,0,0,0,0,0.138,0,0,0.11,0.462
682,,3600470041100,3131,4741100,41100,47,36,"Census Tract 411, Kings County, New York",Kings County,New York,2010-2014,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0,0.508,0.464
683,,3600470041200,2548,4741200,41200,47,36,"Census Tract 412, Kings County, New York",Kings County,New York,2010-2014,,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097,0,0,0,0,0,0,0,0,0,0.004,0.188,0,0,0,0,0,0,0.124,0,0,0.211,0.353
684,,3600470041300,3637,4741300,41300,47,36,"Census Tract 413, Kings County, New York",Kings County,New York,2010-2014,,0,0,0,0.002,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0.006,0,0.523,0.462
685,,3600470041401,1183,4741401,41401,47,36,"Census Tract 414.01, Kings County, New York",Kings County,New York,2010-2014,,0,0,0.099,0.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0,0.012,0,0.011,0,0,0,0,0,0,0.202,0,0,0,0,0,0,0.041,0,0.008,0.049,0.464
686,,3600470041402,1579,4741402,41402,47,36,"Census Tract 414.02, Kings County, New York",Kings County,New York,2010-2014,,0.006,0,0.042,0.035,0,0,0,0,0,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0.037,0,0,0.211,0,0,0,0.042,0,0,0,0,0.015,0.033,0.503
687,,3600470041500,3952,4741500,41500,47,36,"Census Tract 415, Kings County, New York",Kings County,New York,2010-2014,,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0.005,0,0.003,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.013,0.507,0.461
688,,3600470041600,2569,4741600,41600,47,36,"Census Tract 416, Kings County, New York",Kings County,New York,2010-2014,,0,0,0.097,0.09,0,0,0,0,0,0.015,0,0,0,0,0,0.004,0,0.014,0,0,0.031,0,0,0,0,0,0,0.005,0.098,0,0,0,0.034,0,0,0.012,0,0.024,0.126,0.45
689,,3600470041700,3218,4741700,41700,47,36,"Census Tract 417, Kings County, New York",Kings County,New York,2010-2014,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.065,0,0.03,0,0,0,0,0,0,0,0,0.019,0,0,0,0,0,0,0,0.006,0.012,0.596,0.27
690,,3600470041800,1807,4741800,41800,47,36,"Census Tract 418, Kings County, New York",Kings County,New York,2010-2014,,0,0,0.125,0.035,0.004,0,0,0,0.002,0.009,0,0,0,0,0,0.022,0,0.006,0.006,0.012,0,0,0,0,0,0.019,0,0.02,0.165,0,0,0,0.024,0,0,0,0,0.009,0.096,0.448
691,,3600470041900,3816,4741900,41900,47,36,"Census Tract 419, Kings County, New York",Kings County,New York,2010-2014,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.552,0.406
692,,3600470042000,1791,4742000,42000,47,36,"Census Tract 420, Kings County, New York",Kings County,New York,2010-2014,,0,0,0.094,0.023,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0.061,0,0,0.008,0.03,0,0.003,0,0,0,0.008,0.032,0,0,0,0.044,0,0,0,0,0.004,0.061,0.621
693,,3600470042100,3654,4742100,42100,47,36,"Census Tract 421, Kings County, New York",Kings County,New York,2010-2014,,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0.023,0,0,0,0.007,0,0,0,0,0,0,0,0,0.003,0,0,0,0.003,0.006,0,0.016,0.659,0.269
694,,3600470042200,2866,4742200,42200,47,36,"Census Tract 422, Kings County, New York",Kings County,New York,2010-2014,,0,0,0.114,0.03,0,0,0,0,0,0.001,0,0,0,0,0,0.009,0,0.055,0.008,0,0.016,0,0,0,0,0.017,0,0,0.089,0.008,0.031,0,0.097,0,0,0.002,0,0,0.1,0.421
695,,3600470042300,4613,4742300,42300,47,36,"Census Tract 423, Kings County, New York",Kings County,New York,2010-2014,,0,0,0,0,0,0,0,0,0,0.022,0,0,0,0,0,0,0,0.003,0,0.016,0,0.003,0,0,0,0.003,0,0.011,0.005,0.002,0.002,0,0,0,0,0.002,0,0,0.725,0.207
696,,3600470042400,2997,4742400,42400,47,36,"Census Tract 424, Kings County, New York",Kings County,New York,2010-2014,,0,0,0.018,0.003,0,0,0,0,0,0.039,0,0,0,0,0,0,0,0.182,0.044,0,0.031,0.022,0,0,0,0.008,0,0,0.226,0,0,0,0.008,0,0,0.057,0,0,0.092,0.27
697,,3600470042500,2436,4742500,42500,47,36,"Census Tract 425, Kings County, New York",Kings County,New York,2010-2014,,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.025,0.596,0.371
698,,3600470042600,4259,4742600,42600,47,36,"Census Tract 426, Kings County, New York",Kings County,New York,2010-2014,,0,0.002,0,0.014,0,0,0,0,0.014,0.005,0,0,0,0,0,0,0,0.377,0.023,0,0.025,0,0,0.008,0.009,0.009,0.012,0.005,0.171,0,0,0,0,0,0,0.018,0,0.004,0.107,0.197
699,,3600470042700,5257,4742700,42700,47,36,"Census Tract 427, Kings County, New York",Kings County,New York,2010-2014,,0,0,0,0,0,0,0,0,0.002,0.01,0,0,0,0,0,0.002,0,0.005,0,0.005,0,0,0.002,0,0.002,0,0,0,0.002,0,0,0,0,0,0,0,0.002,0.002,0.661,0.307
700,,3600470042800,3687,4742800,42800,47,36,"Census Tract 428, Kings County, New York",Kings County,New York,2010-2014,,0.004,0,0.002,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0.266,0.012,0,0.005,0,0,0,0,0.067,0,0.015,0.286,0.021,0,0,0.002,0,0.006,0.041,0,0.006,0.085,0.159
701,,3600470042900,5337,4742900,42900,47,36,"Census Tract 429, Kings County, New York",Kings County,New York,2010-2014,,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0.008,0.007,0,0,0,0,0.003,0,0.002,0,0.008,0.696,0.26
702,,3600470043000,2986,4743000,43000,47,36,"Census Tract 430, Kings County, New York",Kings County,New York,2010-2014,,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.027,0,0,0.285,0.028,0,0.062,0,0,0,0,0.012,0,0,0.231,0,0,0,0.006,0,0,0.037,0,0,0.133,0.16
703,,3600470043100,5228,4743100,43100,47,36,"Census Tract 431, Kings County, New York",Kings County,New York,2010-2014,,0,0,0,0.01,0,0,0,0,0.015,0,0,0,0.002,0,0,0,0.012,0.069,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0.004,0.629,0.255
704,,3600470043200,4453,4743200,43200,47,36,"Census Tract 432, Kings County, New York",Kings County,New York,2010-2014,,0.003,0,0.006,0.015,0,0,0,0,0.006,0.004,0,0,0,0,0,0,0,0.342,0.003,0,0,0,0,0.01,0,0.013,0.024,0.004,0.208,0.004,0,0,0,0,0,0.031,0,0,0.132,0.194
705,,3600470043300,3915,4743300,43300,47,36,"Census Tract 433, Kings County, New York",Kings County,New York,2010-2014,,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0.743,0.22
706,,3600470043400,3250,4743400,43400,47,36,"Census Tract 434, Kings County, New York",Kings County,New York,2010-2014,,0.006,0.021,0.012,0.028,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0.197,0.007,0,0.009,0.004,0,0,0,0.028,0.006,0.027,0.188,0.044,0,0,0,0,0,0.055,0,0,0.032,0.303
707,,3600470043500,4784,4743500,43500,47,36,"Census Tract 435, Kings County, New York",Kings County,New York,2010-2014,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0,0.675,0.276
708,,3600470043600,4192,4743600,43600,47,36,"Census Tract 436, Kings County, New York",Kings County,New York,2010-2014,,0.003,0.004,0,0.022,0.01,0,0,0,0,0.023,0,0,0,0,0,0,0,0.306,0.017,0,0.005,0,0,0,0,0.016,0.006,0,0.307,0.002,0,0,0,0,0,0.067,0,0.01,0.034,0.169
709,,3600470043700,5812,4743700,43700,47,36,"Census Tract 437, Kings County, New York",Kings County,New York,2010-2014,,0,0.007,0.001,0.001,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.037,0.011,0.55,0.389
710,,3600470043800,2276,4743800,43800,47,36,"Census Tract 438, Kings County, New York",Kings County,New York,2010-2014,,0,0,0.017,0.025,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0.069,0.014,0.007,0.022,0,0,0.008,0,0,0.008,0,0.214,0,0,0,0.004,0,0,0.02,0,0.013,0.119,0.445
711,,3600470043900,3924,4743900,43900,47,36,"Census Tract 439, Kings County, New York",Kings County,New York,2010-2014,,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0.002,0.006,0.006,0.005,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0.005,0,0,0.039,0,0.66,0.259
712,,3600470044000,2482,4744000,44000,47,36,"Census Tract 440, Kings County, New York",Kings County,New York,2010-2014,,0.003,0,0.07,0.027,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0.012,0.015,0,0,0,0,0.012,0,0.01,0,0.011,0.149,0.026,0,0,0.03,0,0,0.015,0,0.002,0.124,0.491
713,,3600470044100,5887,4744100,44100,47,36,"Census Tract 441, Kings County, New York",Kings County,New York,2010-2014,,0,0,0,0,0,0,0,0,0.007,0.007,0.003,0,0,0,0,0.012,0,0.048,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.707,0.203
714,,3600470044200,2410,4744200,44200,47,36,"Census Tract 442, Kings County, New York",Kings County,New York,2010-2014,,0.037,0,0.127,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.006,0.013,0.011,0,0,0,0,0.013,0.002,0.049,0.121,0,0,0,0.045,0.002,0.008,0.037,0,0.002,0.029,0.484
715,,3600470044300,5866,4744300,44300,47,36,"Census Tract 443, Kings County, New York",Kings County,New York,2010-2014,,0,0.002,0,0.019,0,0,0,0,0.031,0.015,0,0,0.002,0,0,0,0.009,0.005,0,0,0,0.008,0.003,0,0,0,0,0.003,0.001,0,0.002,0,0,0.003,0.004,0.018,0,0,0.677,0.199
716,,3600470044400,2933,4744400,44400,47,36,"Census Tract 444, Kings County, New York",Kings County,New York,2010-2014,,0,0,0.057,0.009,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0.047,0.003,0.006,0.002,0,0,0,0,0,0,0,0.07,0.003,0,0,0.014,0,0,0.014,0,0.015,0.057,0.701
